Group_1,Date_Time,Depthm,TempC,SpConduScm,ChlorophyllRFU,ChlorophyllugL,BGAPCRFU,BGAPCugL,TurbidityFNU,fDOMRFU,fDOMQSU,ODOsat,ODOmgL,pH,Presspsia,Point,latitude,longitude
8,2019-07-22 10:47:20,0.082803279,25.67593443,521.6147541,0.252131148,1.090655738,1.20295082,1.236229508,4.999344262,11.8847541,34.11672131,126.5459016,10.31508197,8.7,0.11747541,8,43.093025,-89.416222
9,2019-07-22 10:55:25,0.088934426,25.65783607,521.1819672,0.230983607,1.006885246,1.149836066,1.179344262,4.978688525,12.40081967,35.5957377,121.0901639,9.873278689,8.67,0.126147541,9,43.09432,-89.435141
10,2019-07-22 11:03:20,0.076081967,25.75818033,519.404918,0.227868852,0.993442623,1.296557377,1.334918033,5.788360656,11.86622951,34.06344262,129.2360656,10.51868852,8.71,0.107868852,10,43.094732,-89.444993
11,2019-07-22 11:11:35,0.108901639,25.77432787,519.0016393,0.253934426,1.099836066,1.68147541,1.735409836,6.851639344,12.25311475,35.17262295,131.1491803,10.67213115,8.72,0.154491803,11,43.095537,-89.457581
12,2019-07-22 11:18:50,0.11752459,25.71431148,520.7442623,0.215409836,0.94557377,1.331311475,1.370655738,5.959180328,12.18098361,34.96688525,128.6786885,10.48065574,8.697868852,0.166721311,12,43.091348,-89.464801
13,2019-07-22 11:25:10,0.086786885,25.79837705,520.542623,0.262295082,1.132786885,1.369016393,1.409180328,6.796229508,12.07163934,34.65147541,133.4868852,10.85557377,8.709836066,0.123114754,13,43.087106,-89.463001
14,2019-07-22 11:34:00,0.087032787,26.00345902,517.3754098,0.310983607,1.327377049,1.598032787,1.64852459,6.72704918,11.82557377,33.94967213,145.457377,11.78557377,8.76,0.123327869,14,43.097033,-89.477611
15,2019-07-22 11:41:55,0.053868852,26.16190164,516.7803279,0.326721311,1.393934426,1.666229508,1.72,7.05295082,12.26639344,35.20803279,145.3098361,11.7404918,8.75,0.076393443,15,43.104945,-89.472796
16,2019-07-22 11:48:50,0.146688525,26.17447541,515.8278689,0.373278689,1.580983607,1.896229508,1.959508197,8.15147541,12.28901639,35.27409836,148.257377,11.97508197,8.77,0.207868852,16,43.101985,-89.463914
17,2019-07-22 11:55:40,0.055754098,26.27252459,514.1606557,0.377540984,1.599180328,2.027540984,2.098032787,7.841639344,12.11901639,34.79,150.304918,12.11967213,8.79,0.07904918,17,43.104864,-89.450056
18,2019-07-22 12:14:45,0.092901639,26.05781967,515.8065574,0.276885246,1.191311475,1.826065574,1.886721311,7.295245902,12.19180328,34.99852459,141.1885246,11.42868852,8.77,0.131754098,18,43.102824,-89.442378
19,2019-07-22 12:22:00,0.036131148,25.87813115,517.5622951,0.242295082,1.050491803,1.588196721,1.638360656,5.791311475,11.89868852,34.15688525,134.5245902,10.92540984,8.74,0.051163934,19,43.10405,-89.43611
20,2019-07-22 12:28:48,0.094770492,26.03785246,515.2163934,0.264262295,1.140163934,1.862459016,1.925901639,6.638032787,11.83655738,33.97672131,135.8131148,10.99655738,8.76,0.134295082,20,43.10482,-89.42142
21,2019-07-22 12:35:59,0.151393443,26.04163934,515.1918033,0.24147541,1.048032787,1.585737705,1.635737705,6.433770492,11.82081967,33.93540984,136.2131148,11.02852459,8.769016393,0.214721311,21,43.10168,-89.41186
22,2019-07-22 10:26:30,0.01457377,25.69890164,438.6540984,0.153442623,0.695901639,0.861147541,0.879016393,3.881147541,10.55672131,30.3095082,118.5786885,9.661639344,8.691147541,0.02057377,22,43.101473,-89.393927
